日期,标题,类型,编号,持有股票,确定性,跟踪股票,操作备注
2023-01-02,投资周记（195）又是新的一年,投资周记,195,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,2022年全年收益10.27%(总155%);反思懒散导致国林未买在最佳点;新一年早5:30起高效工作;YTD start
2023-01-07,投资周记（196）让斜率更陡一点,投资周记,196,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,开年开门红!涪陵电力周涨20%+;体系让资产波动往上;YTD +4.05%
2023-01-14,投资周记（197）既爱又怕的牛市,投资周记,197,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,牛市=既爱又怕(赚钱但不讲逻辑);太极1月18日年终总结会(李阳春交班俞敏);再升底部异动;YTD +4.95%
2023-01-22,投资周记（198）春节愉快,投资周记,198,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,太极越来越有战略股影子(底部5倍+差主升浪);战略股不是预判而是跟踪出来(涪陵榨菜案例);太极分歧仍大;YTD +9.84%
2023-02-03,投资周记（199）娃儿终于要开学,投资周记,199,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,陪娃近百天终开学;太极2023目标:工业增30%/商业增20%;人口负增长分析(劳动力替换持续到2045);YTD +11.48%
2023-02-11,投资周记（200）说说硅宝这份业绩快报,投资周记,200,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,第200篇!硅宝业绩快报(营收26.94亿+5%/扣非2.3亿-6%);Q4毛利率回升至20%+;2023年产能陆续投放;YTD +11.81%
2023-02-18,投资周记（201）嘚瑟必回撤,投资周记,201,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,示范突破90万后回撤!商业感知力=大量积累+悟性;震荡行情最适合我打法;YTD +12.93%
2023-02-25,投资周记（202）估计以本地公司为主,投资周记,202,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,弱者选股强者介入=本地为主(方便调研);施洛斯启示(安全边际+分散);无变化的公司少碰;YTD +12.32%
2023-03-04,投资周记（203）拥抱确定和不确定,投资周记,203,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,国务院发布支持中药产业利好(太极利好出尽是利空);信息真空期等待年报;YTD +12.23%
2023-03-11,投资周记（204）国林科技股价暴涨,投资周记,204,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,国林周涨13%!持仓小幅新高!国林分析(乙醛酸试产+臭氧恢复+半导体国产替代);YTD +14.72%
2023-03-18,投资周记（205）终于摸到200%收益率,投资周记,205,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,示范30→90万(总200%)!太极+国林演绎中;硅宝被闪腰(回天新材实控人被抓黑天鹅);YTD +18.42%
2023-03-25,投资周记（206）示范账户周五魔咒,投资周记,206,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,持仓小幅回调;周五魔咒(每周五必跌);YTD +12.11%
2023-03-31,投资周记（207）本周就贴个净值图,投资周记,207,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,Q1结束时净值创新高!YTD +25.66%
2023-04-07,投资周记（208）净值到第二个心理目标,投资周记,208,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,盘中摸到100万(第二个目标)!太极今年已涨40%+;回顾太极抉择过程(50亿=安全+变化+赔率);YTD +30.01%
2023-04-14,投资周记（209）感觉未来投资越来越不好做,投资周记,209,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,明确,,示范突破100万!市场生态变(AI吸血40%资金);再升Q1业绩担忧;变化要够大才吸引资金;YTD +29.01%
2023-04-21,投资周记（210）一笔操作,投资周记,210,再升科技|太极集团|硅宝科技|国林科技,明确,,卖出涪陵电力(全部)!(长线测试结束/约赚1倍多);卖电力的钱分散加仓其余四只
2023-05-02,投资周记（211）快乐和难受的一周,投资周记,211,再升科技|太极集团|硅宝科技|国林科技,明确,,涪陵电力已清仓;五一股市休市;YTD +34.91%
2023-05-06,投资周记（212）再升的自救,投资周记,212,再升科技|太极集团|硅宝科技|国林科技,明确,,再升分析(今年Q3单季有望正增长/5元底部坚实);散户赚渣渣钱都难;YTD +43.02%
2023-05-12,投资周记（213）太极进入复杂阶段,投资周记,213,再升科技|太极集团|硅宝科技|国林科技,明确,,太极走势进入复杂阶段(短期波动加剧);太极已从底部涨5倍;YTD +31.31%
