日期,标题,类型,编号,持有股票,持有股票代码,确定性,跟踪股票,操作备注
2019-04-22,投资日志（1）20190422,投资日志,1,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE,明确,,涪陵已卖出一半；新希望成本13元；涪陵获利~150%
2019-04-24,投资日志（2）,投资日志,2,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE,明确,,
2019-04-25,投资日志（3）,投资日志,3,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE,明确,,跟踪五六只消费股未点名
2019-04-25,投资日志（4）将军赶路不打小兔,投资日志,4,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE,明确,爱尔眼科|广州酒家|桃李面包|南极电商,新希望股东会：年底能繁母猪目标30万头
2019-05-06,投资笔记（5）,投资笔记,5,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE,明确,桃李面包|爱尔眼科|南极电商|广州酒家,特朗普加关税；涪陵已卖一半以上获利约150%
2019-05-08,投资日志（6）,投资日志,6,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE,明确,,即将严重跟踪新标的未公布
2019-05-09,投资日志（7）为啥不推荐新希望,投资日志,7,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE,明确,爱尔眼科|桃李面包|广州酒家|南极电商|长安汽车,新增长安汽车观察（困境反转明确说不能买）
2019-05-14,投资日志（8）20190514,投资日志,8,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE,明确,广州酒家|爱尔眼科|桃李面包|南极电商|旭升股份,新增旭升股份一般跟踪；再升成本均价9元
2019-05-17,投资日志（9）淡然面对下跌,投资日志,9,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE,明确,,预计长时期三只不动
2019-05-22,投资日志（10）改变投资观,投资日志,10,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE,明确,爱尔眼科|广州酒家|南极电商|桃李面包,坦言三只都非最优标的
2019-05-27,投资日志（11）,投资日志,11,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE,明确,,用再升分红款6.99元加仓3000股再升
2019-06-01,投资周记（12）20190601,投资周记,12,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE,明确,,"首篇正式""投资周记""；新挖掘涪陵电力进行跟踪"
2019-06-09,投资日志（13）20190609,投资日志,13,再升科技|涪陵榨菜,603601.XSHG|002507.XSHE,明确,涪陵电力,卖出新希望（约19元清仓，获利~40%）；新希望短逻辑结束
2019-06-11,投资日志（14）新的示范账户来了,投资日志,14,再升科技|涪陵榨菜|涪陵电力,603601.XSHG|002507.XSHE|600452.XSHG,明确,,新示范账户起始100.55万元；7.24元买入1万股再升；新建仓涪陵电力3000股
2019-06-13,投资日志（15）你能承受浮亏多久,投资日志,15,再升科技|涪陵电力,603601.XSHG|600452.XSHG,明确,涪陵榨菜|广州酒家|千禾味业|晨光文具|有友食品,示范账户持仓切换为再升+涪陵电力；跟踪股大幅更新
2019-06-18,投资日志（16）准备上仓位了,投资日志,16,再升科技|涪陵电力,603601.XSHG|600452.XSHG,明确,,准备加仓涪陵电力；中海油新股中签2个
2019-06-21,投资日志（17）涪陵电力财报分析,投资日志,17,再升科技|涪陵电力,603601.XSHG|600452.XSHG,明确,,深度分析涪陵电力财报；市值新高
2019-06-23,投资日志（18）说下长线和短线,投资日志,18,再升科技|涪陵电力,603601.XSHG|600452.XSHG,明确,涪陵榨菜|广州酒家|千禾味业|晨光文具|有友食品|长安汽车,市值103.99万；新瞄上一个股暂不公开
2019-06-25,投资日志（19）大家知道为啥不敢推荐新希望了吧,投资日志,19,再升科技|涪陵电力,603601.XSHG|600452.XSHG,不明确,,回顾新希望操作的反思总结；持仓推断同前
2019-06-30,投资日志（20）上半年投资小结,投资日志,20,再升科技|涪陵电力|涪陵榨菜,603601.XSHG|600452.XSHG|002507.XSHE,明确,,上半年收益~45%；年初满仓再升+榨菜→3月卖部分再升买新希望→6月卖新希望；榨菜剩半仓在其他账户
2019-07-02,投资日志（21）新入了一只股,投资日志,21,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE,明确,,6.5元买入常山药业1万股（猪产业链-肝素）；神秘标的未公开
2019-07-04,投资日志（22）为啥还要做投资,投资日志,22,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE,明确,,卖出中海油新股；讨论新城控股黑天鹅
2019-07-06,投资日志（23）投资是一个体系,投资日志,23,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE,明确,,再升8万股(占比60%)+涪陵电力+常山1万股；仓位~85%
2019-07-10,投资日志（24）慌了么,投资日志,24,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE,不明确,,讨论持仓逻辑和心理建设
2019-07-14,投资日志（25）曲折中前行,投资日志,25,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE,明确,,16.02元加仓3000股涪陵电力；中签科创板新股
2019-07-25,投资日志（27）马上出发再升调研,投资日志,27,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE,不明确,,准备再升科技实地调研问题清单
2019-07-28,投资日志（26）我在涪陵榨菜上的煎熬,投资日志,26,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE,不明确,,回顾涪陵榨菜两年持有心路历程；市场下跌持仓缩水
2019-08-01,投资日志（29）关于榨菜关于再升,投资日志,29,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE,明确,,涪陵榨菜已全部清仓(最后几千股跌停板走掉)；分析高概率高赔率框架
2019-08-05,投资日志（30）最近投资比较失败,投资日志,30,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE,明确,,再升8万股+涪陵电力1.6万股+常山1万股；仓位90%；市值跌破100万
2019-08-11,投资日志（31）有些新想法,投资日志,31,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE,明确,太极集团|涪陵榨菜|中宠股份|长安汽车,新增跟踪太极集团；市值94.94万(浮亏5%)
2019-08-18,投资日志（32）投资思路及跟踪标的,投资日志,32,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE,明确,太极集团|涪陵榨菜|中宠股份|长安汽车,6.99元买入再升1.31万股(剩余子弹)；再升官司打赢；资产重回100万
2019-09-08,投资笔记（35）你是否入了投资的门,投资笔记,35,再升科技|涪陵电力|常山药业|太极集团,603601.XSHG|600452.XSHG|300255.XSHE|600129.XSHG,明确,,卖出前期6.99买的1.31万股再升；10.24元买入9100股太极集团底仓
2019-09-10,投资日志（33）坚持自己的初心,投资日志,33,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG,明确,中宠股份|涪陵榨菜,操作同上(卖出再升底仓换太极)
2019-09-16,投资周记（34）近期感悟及个股逻辑,投资周记,34,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG,明确,,深度分析太极集团逻辑（混改+白礼西下课+销售费用下降）；常山已不在持仓
2019-10-07,投资周记（37）国庆结束满血回归,投资周记,37,再升科技|涪陵电力|常山药业|太极集团,603601.XSHG|600452.XSHG|300255.XSHE|600129.XSHG,明确,,确定要砍常山；再升业绩增速降至25-35%；太极重点研究
2019-10-15,投资周记（38）再谈概率和赔率,投资周记,38,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG,明确,,再升实地调研；概率赔率框架：涪陵电力=高概率中赔率、太极=中概率高赔率、再升=中概率中赔率
2019-10-18,投资周记（39）今年浮盈过百万,投资周记,39,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG,明确,,卖出了常山药业(亏4000元)；加仓涪陵电力；今年股票浮盈100万+
2019-10-27,投资周记（40）再说交易体系,投资周记,40,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG,明确,,正式确认卖常山药业加仓涪陵电力；预计组合维持较长时间
