日期,标题,类型,编号,持有股票,持有股票代码,确定性,跟踪股票,操作备注
2021-07-04,投资周记（121）规模是否会抑制收益率,投资周记,121,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE,明确,,规模vs收益率讨论(5亿以下可抗8只股);再升跌16%但整体仍有17%半年收益;YTD +15.43%
2021-07-09,投资周记（122）投资简单但是不容易,投资周记,122,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE,明确,,加仓涪陵电力200股(共1012股作长线测试);4.45元买入常宝股份8500股;鲁西尴尬(业绩好股价不涨);YTD +18.53%
2021-07-17,投资周记（123）我把跟踪公司分类的情况,投资周记,123,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE,明确,,公司四层分类体系(深度跟踪/公告跟踪/年报半年报/重大事项);已分类100+家;YTD +19.91%
2021-07-23,投资周记（124）新换仓了一笔,投资周记,124,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE,明确,,20.40元卖出鲁西化工4500股→11.57元加仓再升科技5000股;涪陵榨菜快腰斩了(等市场底);YTD +22.55%
2021-07-30,投资周记（125）鲁西和榨菜的半年报的感受,投资周记,125,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE,明确,,鲁西半年报(营收+95%/净利26亿+10倍);涪陵榨菜半年报(销售费用+80%侵蚀利润);两者都不在钟摆极限;YTD +17.90%
2021-08-08,投资周记（126）关于闲谈提升认知,投资周记,126,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE,明确,,邱国鹭案例反思(买月亮不买星星/3年不赚钱);苏炳添换脚起跑启示(自宫进化);鲁西涨不动了;YTD +17.79%
2021-08-13,投资周记（127）这周酸爽伟大的市场先生,投资周记,127,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE,明确,,太极天地板(涨停→跌停!中国中药停止私有化);涪陵电力定增落地新高;秦安买了6000万电力定增赚2000万;YTD +20.98%
2021-08-21,投资周记（128）唉不能嘚瑟啊,投资周记,128,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG,明确,,鲁西化工全部卖出(首个盈利超10万标的)!太极回撤30%+(短期资金跑路);茅台回撤41%启示;YTD +15.18%
2021-08-28,投资周记（129）这段时间错过不少牛股,投资周记,129,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG,明确,莱美药业|卫士通,错过莱美/卫士通(逻辑没梳理清楚不敢重锤);秦安股份二进宫(9元多建仓/混动项目预期);YTD +15.22%
2021-09-03,投资周记（130）太极坐了一个比较大的过山车,投资周记,130,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG,明确,,太极过山车(最高浮盈7万→回撤至几千);22元无法预判是否为顶;再升底部形态明显;YTD +12.38%
