日期,标题,类型,编号,持有股票,确定性,跟踪股票,操作备注
2024-01-06,投资周记（246）开门黑！,投资周记,246,再升科技|太极集团|硅宝科技|国林科技,推断,,开年第一周负收益;周五持仓均大跌;硅宝仍在等业绩支撑;YTD -2.39%
2024-01-14,投资周记（247）太极下跌！,投资周记,247,再升科技|太极集团|硅宝科技|国林科技,推断,,太极持续下跌拖累净值;分析太极三大变化(换董事长/定增预期/国药控股);YTD -8.84%
2024-01-21,投资周记（248）钝刀子割肉,投资周记,248,再升科技|太极集团|硅宝科技|国林科技,推断,,连跌三周;持仓个股破位;市场持续杀估值;YTD -11.87%
2024-01-27,投资周记（249）我在知和行方面犯了错,投资周记,249,再升科技|太极集团|硅宝科技|国林科技,明确,,明确说"目前我持有的四只标的";反思知行不合一;国林最没把握建议减仓;最高回撤超30%;YTD -16.59%
2024-02-04,投资周记（250）回撤巨大极端行情,投资周记,250,太极集团|硅宝科技|国林科技,推断,,⚡痛下决心割了再升科技全部(浮亏变实亏亏5万多)!太极和硅宝基本面有底;国林仍不确定;YTD -30.91%
2024-02-13,投资周记（251）回了一口血希望是一个新的开始,投资周记,251,太极集团|硅宝科技|云南能投|莱美药业,推断,,⚡快刀斩乱麻卖出再升和国林!2月6日8.85元买入云南能投2300股;2月8日2.08元买入莱美药业42600股;YTD -21.42%
2024-02-25,投资周记（252）稳定心情持续战斗！,投资周记,252,太极集团|硅宝科技|云南能投|莱美药业,明确,,明确说"个人持仓四个股：太极集团、硅宝科技、云南能投和莱美药业";太极分析(中国中药私有化可能装入);YTD -18.33%
2024-03-01,投资周记（253）我还是相信这句话,投资周记,253,太极集团|硅宝科技|云南能投,推断,,⚡2月26日2.8元卖出莱美药业全部(持仓1周多落袋30%+收益)!
2024-03-08,投资周记（254）点评过的个股中有金子,投资周记,254,太极集团|硅宝科技|云南能投|阳谷华泰,推断,,⚡7.99元买入阳谷华泰14900股(去年点评过/股价打65折/PB近净资产);YTD -20.19%
2024-03-17,投资周记（255）到某大学去交流了下,投资周记,255,太极集团|硅宝科技|云南能投|阳谷华泰,推断,,无操作;讨论估值问题;YTD -16.01%
2024-03-22,投资周记（256）投资最终还是一个私人行为,投资周记,256,太极集团|硅宝科技|云南能投|阳谷华泰,推断,,太极跌幅较大拖累净值;分析阳谷华泰(年报业绩下滑40%/商业模式局限);YTD -20.99%
2024-03-30,投资周记（257）一季度小结,投资周记,257,太极集团|硅宝科技|云南能投|阳谷华泰,较明确,,Q1小结:讨论太极和硅宝(存量遗留)+阳谷和云南能投(新入);再升/国林已割;莱美已卖;YTD -21.55%
2024-04-03,投资周记（258）有一笔交易,投资周记,258,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份,推断,,⚡33元卖出部分太极集团→8.02元全部买入双箭股份!太极存量筹码仍在;YTD -18.7%
2024-04-12,投资周记（259）铲子公司的投资方法,投资周记,259,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份,推断,,住院期间反思投资;讨论铲子公司投资方法;YTD -17.43%
2024-04-20,投资周记（260）散户投资最好还是要相信常识和赔率,投资周记,260,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份,推断,,讨论PE估值的危险和赔率保护;无交易;YTD -16.15%
2024-04-28,投资周记（261）把这两件事情当成人生的使命！,投资周记,261,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份,推断,,⚡13.03元卖出一半硅宝科技(10300股);8.71元卖出一半阳谷华泰(7400股)!现金暂未买入;YTD -20.35%
2024-05-12,投资周记（262）简单记录个净值,投资周记,262,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份|华康股份|索通发展,推断,,⚡22.46元买入华康股份3200股;14.94元买入索通发展4800股!持仓扩至7只;YTD -16.27%
2024-05-18,投资周记（263）参加了太极集团的股东会,投资周记,263,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份|华康股份|索通发展,推断,,参加太极股东会;内生增长目标调低/外延并购无时间表;短期刺激因子消失;YTD -17.14%
2024-05-25,投资周记（264）不能慌！,投资周记,264,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份|华康股份|索通发展,推断,,"目前持仓较多示范账户持仓到了7个";再升300万代价反思;YTD -19.75%
2024-06-01,投资周记（265）不能被股价短期的波动牵住鼻子,投资周记,265,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份|华康股份|索通发展,推断,,用分红资金7.36元买入双箭股份600股;详细分析双箭股份;YTD -20.04%
2024-06-08,投资周记（266）我被我老师打击咯,投资周记,266,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份|华康股份|索通发展,推断,,无交易;讨论双箭和索通;市场对小市值不友好;YTD -20.47%
2024-06-16,投资周记（267）增长可以覆盖一切矛盾,投资周记,267,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份|华康股份|索通发展,推断,,茅台金融属性消失标志时代结束;用分红6.72元买入双箭股份200股;YTD -21.4%
2024-06-22,投资周记（268）有一笔交易,投资周记,268,硅宝科技|云南能投|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,推断,,⚡35.44元卖出太极集团全部(持有3年/投入20万+/落袋33万+收益)!11.55元买入花园生物15300股;太极集团就此清仓!YTD -21.68%
2024-06-30,投资周记（269）半年小思,投资周记,269,硅宝科技|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,推断,,⚡12.13元卖出云南能投全部(收益~40%/持股约4个月)!加仓华康/索通/花园3只;持仓集中为6只;半年YTD -19.48%跑输指数仅好于中位数
